latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
26.81898,80.93023,127.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (m/s),wind_direction_10m (°)
2026-07-16T00:00,29.9,85,0.00,987.7,98,1.77,225
2026-07-16T01:00,29.8,83,0.00,987.1,59,1.83,244
2026-07-16T02:00,29.5,82,0.00,986.9,96,1.81,246
2026-07-16T03:00,29.2,78,0.00,986.6,99,2.63,261
2026-07-16T04:00,28.7,76,0.00,986.8,58,2.58,279
2026-07-16T05:00,28.1,86,0.00,986.7,99,0.68,287
2026-07-16T06:00,28.3,86,0.10,987.3,98,1.36,84
2026-07-16T07:00,27.0,92,4.90,988.4,100,0.54,202
2026-07-16T08:00,27.0,93,2.10,988.3,92,0.89,207
2026-07-16T09:00,28.6,87,0.70,988.7,86,0.27,202
2026-07-16T10:00,30.8,78,0.10,988.6,70,0.56,260
2026-07-16T11:00,31.7,74,0.10,988.4,91,0.90,289
2026-07-16T12:00,32.1,75,0.60,987.9,90,0.54,326
2026-07-16T13:00,33.1,71,0.20,986.7,98,0.99,300
2026-07-16T14:00,33.3,69,0.10,986.1,98,1.42,309
2026-07-16T15:00,33.6,68,0.00,986.0,98,1.49,318
2026-07-16T16:00,32.1,75,0.60,985.6,93,2.47,324
2026-07-16T17:00,32.8,69,1.30,985.3,97,0.25,79
2026-07-16T18:00,32.1,76,0.00,985.7,99,0.67,117
2026-07-16T19:00,31.1,83,0.00,986.6,99,0.86,80
2026-07-16T20:00,30.7,85,0.00,987.0,98,0.98,105
2026-07-16T21:00,30.3,86,0.00,987.5,83,1.26,108
2026-07-16T22:00,29.9,86,0.00,987.7,100,1.53,128
2026-07-16T23:00,28.8,88,0.00,987.6,98,2.30,124
2026-07-17T00:00,28.6,89,0.00,987.6,97,1.84,133
2026-07-17T01:00,28.5,90,0.00,986.8,98,1.64,142
2026-07-17T02:00,28.2,91,0.00,986.5,99,1.36,144
2026-07-17T03:00,28.1,92,0.00,986.5,99,1.14,128
2026-07-17T04:00,28.1,92,0.10,987.1,100,1.28,111
2026-07-17T05:00,28.1,91,1.10,986.5,98,1.25,106
2026-07-17T06:00,27.7,91,0.30,987.8,99,2.13,309
2026-07-17T07:00,27.4,95,1.50,987.6,98,1.07,208
2026-07-17T08:00,29.1,87,0.10,987.8,98,0.50,217
2026-07-17T09:00,30.8,78,0.00,987.9,98,0.75,127
2026-07-17T10:00,32.1,72,0.00,988.1,100,0.86,144
2026-07-17T11:00,33.4,67,0.00,987.7,96,1.24,194
2026-07-17T12:00,32.7,71,0.30,987.3,84,0.55,185
2026-07-17T13:00,33.5,67,0.20,986.6,81,0.16,252
2026-07-17T14:00,34.0,65,0.00,985.8,78,0.73,254
2026-07-17T15:00,33.8,66,0.10,985.0,77,1.35,285
2026-07-17T16:00,30.0,86,2.40,985.3,87,2.67,339
2026-07-17T17:00,32.5,69,0.20,985.2,95,2.36,6
2026-07-17T18:00,31.5,76,0.00,985.8,88,1.72,60
2026-07-17T19:00,30.6,81,0.00,986.5,82,1.60,110
2026-07-17T20:00,29.7,84,0.00,987.4,96,1.91,137
2026-07-17T21:00,29.0,86,0.00,987.8,67,1.03,141
2026-07-17T22:00,28.6,88,0.00,987.8,92,1.22,145
2026-07-17T23:00,28.9,88,0.00,987.1,88,1.68,157
2026-07-18T00:00,28.6,89,0.00,987.0,99,1.71,159
2026-07-18T01:00,28.4,90,0.00,986.6,95,1.68,150
2026-07-18T02:00,28.2,90,0.00,986.3,98,1.84,167
2026-07-18T03:00,28.0,92,0.00,986.1,99,1.85,178
2026-07-18T04:00,27.9,92,0.00,986.1,98,1.66,175
2026-07-18T05:00,28.1,93,0.00,985.9,98,1.87,189
2026-07-18T06:00,28.8,91,0.00,986.5,98,1.35,202
2026-07-18T07:00,29.8,87,0.10,986.7,99,1.39,240
2026-07-18T08:00,31.4,79,0.00,987.1,99,1.11,252
2026-07-18T09:00,32.6,74,0.00,987.2,100,0.39,220
2026-07-18T10:00,32.5,72,0.70,987.1,100,0.92,68
2026-07-18T11:00,32.4,68,0.10,987.5,100,1.06,135
2026-07-18T12:00,31.9,69,0.40,987.0,100,1.34,135
2026-07-18T13:00,31.2,74,0.30,986.4,100,1.48,123
2026-07-18T14:00,30.9,77,0.90,986.2,100,1.39,105
2026-07-18T15:00,31.1,77,0.30,985.4,100,0.82,104
2026-07-18T16:00,31.4,76,0.10,984.8,93,0.49,45
2026-07-18T17:00,30.7,71,0.00,985.8,100,0.93,106
2026-07-18T18:00,30.1,78,0.00,986.0,100,1.30,92
2026-07-18T19:00,29.2,83,0.00,987.2,99,1.25,119
2026-07-18T20:00,28.8,85,0.00,987.3,99,1.13,131
2026-07-18T21:00,28.5,88,0.00,988.0,99,0.83,123
2026-07-18T22:00,28.2,90,0.00,988.5,99,0.50,53
2026-07-18T23:00,28.9,88,0.00,988.4,99,0.64,135
